index,Pathway,Super_class,Class
CC(C)C(C)C=CC(C)C1CCC2C3CC=C4CC(O)CC(O)C4(C)C3C(O)CC12C,Terpenoids,Steroids,Cholestane steroids
CCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCC(C)C,Fatty acids,Spingolipids,Ceramides
C=CCCCCCCCCCCCC(=O)CC(O)COC(C)=O,Fatty acids,Fatty acyls,Fatty alcohols
CC(C)(O)CCc1c(O)ccc2c1OC1c3ccc(O)cc3OCC21,Shikimates and Phenylpropanoids,Isoflavonoids,Pterocarpan
C#CCCCC1OC(=O)C(C(C)CC)N(C)C(=O)C2CCCN2C(=O)C(C(C)CC)OC(=O)C(C(C)CC)N(C)C(=O)C(C(C)C)NC(=O)C1C,Polyketides,Oligopeptides,Depsipeptides
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,Fatty acids,Glycerophospholipids,Glycerophosphoserines
CC1=CCC(C(C)C2CC(O)C3(C)C4=C(C=C5C=CC(=O)OC(C)(C)C5CC4)CCC23C)OC1=O,Terpenoids,Triterpenoids,Cycloartane triterpenoids
CC(C)=CCc1c(CO)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Shikimates and Phenylpropanoids,Xanthones,Plant xanthones
CCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)(O)OCCN)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC,Fatty acids,Spingolipids,Phosphosphingolipids
COc1ccc(-c2c3n(c4c(=O)oc5cc(O)c(OC)cc5c24)CCc2cc(O)c(OC)cc2-3)cc1O,Alkaloids,Proline alkaloids,Pyrrole alkaloids
CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC(C)CC(=O)OC1C=CC=CC(=O)OC2C(C)CC3C2(O)C(O)C2(CO)OC2C2C4OC5(c6ccccc6)OC(C(C)C23O5)C4(O)C(C)(O)CC2CCC1CC2,Terpenoids,Diterpenoids,Daphnane diterpenoids
C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3[C@H](OCC)CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,Terpenoids,Sesquiterpenoids,Pseudoguaiane sesquiterpenoids
COc1ccc2c3c1OC1C(O)CCC4(C(O)C2)N(C)CCC314,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
COc1c(OC)c(OC)c2c(=O)c3c(O)ccc(OC)c3oc2c1OC,Shikimates and Phenylpropanoids,Xanthones,Plant xanthones
CCCC(=O)C1C(=O)C(CC2C(=O)C(C(=O)CC)C(=O)C(C)(C)C2=O)C(=O)C(C)(C)C1=O,Polyketides,Phloroglucinols,Dimeric phloroglucinols
CC1=C2C[C@H](C(C)(C)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@H](C)[C@H]2CC1=O,Terpenoids,Sesquiterpenoids,Guaiane sesquiterpenoids
COc1cc(C=CC(=O)OCC2OC(c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc34)C(OC3OCC(O)C(O)C3O)C(O)C2O)ccc1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
CCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)CO,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(O)COC2C31C,Terpenoids,Sesquiterpenoids,Picrotoxane sesquiterpenoids
CC1NC(=O)C(C(C)C)NC(=O)C(C)C(CC=CCCC(N)=O)NC(=O)C(Cc2ccccc2)NC1=O,Amino acids and Peptides,Oligopeptides,Cyclic peptides
CSCCC(N)C(=O)NC(CC(C)C)C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols
CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)CO,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
CCC(C)CC(C)C=CC(=O)OC1C(O)C2(CC(C)CC(C)Cc3ccccc3)OC(C(=O)O)C(O)(C(=O)O)C1(C(=O)O)O2,Polyketides,Linear polyketides,Open-chain polyketides
C=C(C)C1(O)CC=C(C)CC1,Terpenoids,Monoterpenoids,Monocyclic monoterpenoids
CC(C)=CCCC(C)=CCc1cc2c(cc1O)OC(c1ccc(O)cc1)CC2=O,Shikimates and Phenylpropanoids,Flavonoids,Flavanones
COc1cc(C=Cc2ccc(O[C@@H]3O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc(=O)c1,Shikimates and Phenylpropanoids,Styrylpyrones,Kavalactones and derivatives
NC1=C(Cl)C(=O)c2ncccc2C1=O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids
Cc1cccc2oc(=O)c3c(c12)OC1(C)C(=O)OC3C2C(C)CCC21,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
CC(=O)NCCSC1=C(C(=O)O)N2C(=O)C(C(C)OS(=O)(=O)O)C2C1,Amino acids and Peptides,棺-lactams,Carbapenems
CCCN1CCC2(CC1)CN(Cc1ccc3c(c1)OCO3)[C@H](CO)c1[nH]c3cc(OC)ccc3c12,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
O=C1C=C2Nc3cc(CO)ccc3OC2C1CO,Alkaloids,Anthranilic acid alkaloids,Phenoxazine alkaloids
CO[C@@H]1CCc2ncc3cc4c(cc3c2C1)OCO4,Alkaloids,Tyrosine alkaloids,Amarylidaceae alkaloids
CCCCCCCCCCCCSC1c2cccc(O)c2C(=O)c2c(O)cccc21,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones
CC1=C[C@]2(O)[C@@H](CC1=O)[C@@](C)(O)CC[C@@H]2C(C)C,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids
CN(O)C(=O)CCC(=O)N(CCCCNC(=O)c1cccc(O)c1O)CCCNC(=O)c1cccc(O)c1O,Alkaloids,Ornithine alkaloids,Polyamines
C=C1C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,Amino acids and Peptides,Oligopeptides,Microcystins
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC(O)/C=C/C=O,Fatty acids,Glycerophospholipids,Oxidized glycerophospholipids
CC1=CC(O)C(C(C)C)CCC(C)=CCC1,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
CC(=CC(O)CC(C)C1CCC2(C)C3CCC4C(C)(C)C(=O)CCC45CC35CCC12C)C(=O)O,Terpenoids,Triterpenoids,Cycloartane triterpenoids
O=C1NC(=O)c2c1c1nc[nH]c1c1[nH]c3ccccc3c21,Alkaloids,Histidine alkaloids,Imidazole alkaloids
ONc1c2ccccc2nc2ccccc12,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
CC(=O)OC1CC2C(C)(CCC3C2(C)CCC2(C)C4CC(C)(C)CCC4(C)C(OC(C)=O)CC32C)C(C)C1OC(C)=O,Terpenoids,Triterpenoids,Pachysanane triterpenoids
COC(=O)C1=CCCC(C)=CC2OCC(C)=C2CCC2(C)OC2CC1,Terpenoids,Diterpenoids,Cembrane diterpenoids
COc1cc(O)c2c(=O)c(OC3OC(COC(=O)CC(C)(O)CC(=O)O)C(O)C(O)C3OC3OCC(O)(CO)C3O)c(-c3ccc(O)c(O)c3)oc2c1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(=O)C1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C2(CC3C(CCC3(C)O)C(C)(O)C2)C1=O,Terpenoids,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids)
CC(C)C1NC(=O)C(NC(=O)NC(Cc2ccccc2)C(=O)O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C(=O)C(CCc2ccc(O)cc2)NC1=O,Amino acids and Peptides,Oligopeptides,Anabaenopeptins
CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=C1CCCC2C1(C)CCC(C)C2(C)CC1=CC(=O)C(Nc2ccc(O)c(CC3(C)C(C)CCC4(C)C(=C)CCCC43)c2)=CC1=O,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
C=C1C[C@H]2O[C@H]([C@@H]3[C@@H](C(C)C)CCC(=C)[C@H]23)[C@](C)(O)CC[C@@H]1OO,Terpenoids,Diterpenoids,Eunicellane diterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
COc1cc(Oc2ccccc2)c(-c2cc3ccccc3c(=O)o2)cc1OC,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins
CCC(=O)CC(C)CC,Fatty acids,Fatty acyls,Oxygenated hydrocarbons
COc1cc(O)c2c(=O)c(O)c(-c3cc(O)c(OC)c(OC)c3)oc2c1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1OC1OC(CO)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavones
C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3[C@H](OC)CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,Terpenoids,Sesquiterpenoids,Pseudoguaiane sesquiterpenoids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(C)=CC12CCC3C(CCC4CCCCC43C)C1CCC2C1=CC(=O)OC1,Terpenoids,Steroids,Cardenolides
CCCC=CC=CC=CC(=O)OC1C(COC(C)=O)=CC2C(=O)C3(C=C(C)C(O)C13O)C(C)CC1C2C1(C)C,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
Cc1cc(=O)c2c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,Polyketides,Chromanes,Chromones
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CCCCCCCCCCCCCCCCCCC(C)CCCCCCCCCCCC,Fatty acids,Fatty acyls,Hydrocarbons
CCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
C=C1C(=O)OC2C1CCC(C)C1CCC(OC(C)=O)C12C,Terpenoids,Sesquiterpenoids,Pseudoguaiane sesquiterpenoids
CCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
COC(=O)c1c(C)c(C)c(OC(=O)c2c(C)c(C=O)c(O)c(C)c2O)c(C)c1O,Polyketides,Aromatic polyketides,Depsides and depsidones
CCC(C)CCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,Fatty acids,Spingolipids,Sphingoid bases
CC[C@@H](C=C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]21C)C(C)C,Terpenoids,Steroids,Stigmastane steroids
Cc1ccc2c(=O)c3cccc(CC(=O)O)c3[nH]c2c1C,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC/C=C\C/C=C\C/C=C/C=C/C1CC(C(C/C=C\CCC(=O)O)OO)OO1,Fatty acids,Docosanoids,"Docosa-1,2-dioxolanes"
CCCCCC=CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,Polyketides,Aromatic polyketides,Catechols with side chains
C/C=C/C=C1\C2(C)CCC(O2)C1(C)C,Terpenoids,Apocarotenoids,Apocarotenoids (棺-)
CCCCCC/C=C/C=C(\CCCCCC(=O)O)[N+](=O)[O-],Fatty acids,Fatty Acids and Conjugates,Nitro fatty acids
C/C=C/CCCCCCCCCOC(C)=O,Fatty acids,Fatty esters,Wax monoesters
CS[C@@]1(Cc2ccccc2O)NC(=O)[C@]2(CC3=CC=C[C@H](O)[C@H]3S2)NC1=O,Amino acids and Peptides,Peptide alkaloids,Thiodiketopiperazine alkaloids
CC(=O)OC1C=C(C)C2C3CC(C)=CCC(OC(C)=O)C(C)(O)C(O3)C2C1C(C)(C)O,Terpenoids,Diterpenoids,Eunicellane diterpenoids
CC(C)C1CCC2C1(C)CCC1(C)C3CCC4(C)C(C(=O)O)=CCCC4C3(C)CCC21C,Terpenoids,Triterpenoids,Fernane and Arborinane triterpenoids
CCCCCCCC/C=C\CCO,Fatty acids,Fatty acyls,Fatty alcohols
CC(C)CC1NC(=O)C(NC(=O)C(C)N(C)C)C(C(C)C)Oc2ccc(cc2)C=CNC1=O,Amino acids and Peptides,Peptide alkaloids,Ansa peptide alkaloids
C=C(C)C(O)CC1=C(OC)C(=O)c2c(OC)cccc2C1=O,Polyketides,Naphthalenes,Naphthoquinones
CCCCCC#C/C=C/C(O)CCCCCCCC(=O)O,Fatty acids,Octadecanoids,Other Octadecanoids
CSc1nc(/C=C2\N=C(N)N(C)C2=O)cn1C,Alkaloids,Histidine alkaloids,Imidazole alkaloids
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,Fatty acids,Glycerolipids,Triacylglycerols
CC1=C(Cc2c(O)cc(C)oc2=O)[C@]2(C)CC[C@H]3C(C)(C)[C@@H](O)CC[C@]3(C)[C@H]2CC1,Polyketides,Meroterpenoids,Triketide meroterpenoids
CC(C)=CCCC(C)C=O,Fatty acids,Fatty acyls,Fatty aldehydes
CC(C)C12CC(=O)C(C)(CO)C1C2,Terpenoids,Monoterpenoids,Thujane monoterpenoids
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6CC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,Terpenoids,Triterpenoids,Oleanane triterpenoids
CCCCCCCCCCCCCCCCCCCCCCCCC=O,Fatty acids,Fatty acyls,Fatty aldehydes
COc1ccc2c3c1OC1CC(O)C=CC31C(O)CN(C)C2,Alkaloids,Tyrosine alkaloids,Amarylidaceae alkaloids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CCCCCCCC/C=C\CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,Fatty acids,Fatty esters,Fatty acyl carnitines
O=C1CC(c2ccccc2)c2c(cc(O)c3c(=O)cc(-c4ccccc4)oc23)O1,Shikimates and Phenylpropanoids,Flavonoids,Neoflavonoids
C=C(C)C(=O)O[C@@H]1C[C@@]2(C)O[C@@H]2C[C@H](OC(C)=O)/C(C)=C\[C@H]2OC(=O)C(=C)[C@@H]21,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
O=C(CCCCCNc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-])NC1C(O)OC(CO)C(O)C1O,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars
C=C(CCC(C)C(C)C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Terpenoids,Steroids,Cholestane steroids
O=c1c2ccccc2[nH]c2c([N+](=O)[O-])cccc12,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
CC(C)C(C)C=CC(C)C1CCC(C2C(=O)C3(C)CCC4CC(=O)C2C3(O)O4)C1(C)CCO,Terpenoids,Steroids,Ergostane steroids
CC(=O)OC[C@@]12CC[C@@]3(C)[C@H]4C(=CC[C@]3(C)[C@H]1[C@H](O)C[C@H]2C(C)C)[C@@]1(C)CC[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@@H]1C[C@@H]4O,Terpenoids,Triterpenoids,Fernane and Arborinane triterpenoids
CC1=CC(=O)c2c(O)ccc(O)c2C1=O,Polyketides,Naphthalenes,Naphthoquinones
CC1=CC(C(C(=O)C=Cc2ccc(O)cc2)C(=O)C=Cc2ccc(O)cc2)C(C(C)C)CC1,Shikimates and Phenylpropanoids,Diarylheptanoids,Linear diarylheptanoids
O=C(Cc1ccc(O)cc1)OC1C(OCCc2ccc(O)c(O)c2)OC(CO)C(O)C1O,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),Phenylethanoids
CCCCC(C)C1CC(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(C(C)CC)C(=O)O1,Polyketides,Oligopeptides,Depsipeptides
CCCCCCCCCCCC(=O)OC,Fatty acids,Fatty esters,Wax monoesters
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CC(OC)C(O)C(OCCN=c3sc4cc(Cl)ccc4n3C)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,Polyketides,Macrolides,Ascomycins and Rapamycins
CC1(C)c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(c3ccc(F)cc3F)C(=O)N21,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC(=O)OCC(Br)C1(C)CC=C2C(C1)C(O)CC1C2(C)CCC2CC21C,Terpenoids,Diterpenoids,Parguerane diterpenoids
CC1CC(O)(C(C)O)C(O)C(OC2C(C)C=CC(=O)OC(C)C(C)C=CC=CC(=O)C(C)CC2C)O1,Polyketides,Macrolides,Tylosins
CCC1OC(=O)C(C)C(O)C(C)C(O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,Polyketides,Macrolides,Erythromycins
CC1(C)CC(=O)C[C@@]2(C)OC(=O)C=C12,Terpenoids,Apocarotenoids,Apocarotenoids (棺-)
CCC1OC(=O)C(C)C(OC2CC(OC)C(O)C(C)O2)C(C)C(O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,Polyketides,Macrolides,Erythromycins
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
CC/C=C\C/C=C\C[C@@H]1O[C@@H]1CCCCCCCCCCC,Fatty acids,Fatty acyls,Oxygenated hydrocarbons
CCCCC(=O)CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,Fatty acids,Fatty esters,Fatty acyl carnitines
CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O,Fatty acids,Eicosanoids,Leukotrienes
CCCC1NC(=O)C2CCCN2C(=O)C(C(C)Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(C(C)C)N(C)C(=O)C(C(C)C)OC(=O)C2CCCN2C(=O)C(Cc2ccccc2)OC(=O)C1C,Polyketides,Oligopeptides,Depsipeptides
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(SCCNC(=O)COCC5OC(n6cc(C)c(=O)[nH]c6=O)CC5N=[N+]=[N-])c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,Polyketides,Macrolides,Ansa macrolides
CCOC(=O)C(C)C,Fatty acids,Fatty esters,Wax monoesters
CC(C)C(C)C=CC(C)C1CCC2(O)C1(C)CCC1C3(C)CCC(O)CC34OC4C(=O)C12O,Terpenoids,Steroids,Ergostane steroids
C=C1C2CCC3(C4CC5C6(C)CCCC5(C(O4)N4CCOC46)C3C2)C1O,Alkaloids,Pseudoalkaloids (transamidation),Terpenoid alkaloids
O=C(OCC1OC(Oc2cc(O)c3c(=O)c(O)c(-c4cc(O)c(O)c(O)c4)oc3c2)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CC1CCCC2(C)CCC(C(C)(C)O)=CC12,Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(O)C(O)C(C)(C)O,Terpenoids,Steroids,Cholestane steroids
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
CCCCCCC/C=C/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCCCCCCC,Fatty acids,Spingolipids,Neutral glycosphingolipids
CCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COc1cc(-c2oc3cc(OC4OCC(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)CO,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCC(O)C(C)(C)O)CCC4(C)C3=CC(=O)C2C1(C)C,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids"
CNCCOC(=O)C=C1CCC2C(C(=O)CC3C(C)(C)C(OC(=O)CC(C)(C)O)CCC23C)C1C,Terpenoids,Diterpenoids,Podocarpane diterpenoids
C[C@H]1CC[C@@H]2C1=C[C@H](C(C)(C)O)CC[C@@H]2C,Terpenoids,Sesquiterpenoids,Guaiane sesquiterpenoids
O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c(O)c4)oc3c2)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)NN,Terpenoids,Triterpenoids,Fusidane triterpenoids
NCCCCN(CCCN)CCCNC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,Alkaloids,Ornithine alkaloids,Polyamines
CCCCCC=CCCCCCCCCc1cccc(O)c1O,Polyketides,Aromatic polyketides,Catechols with side chains
C=C1CCC2C(C)C(Nc3ccccc3)CCC2(C)C1CC=C1C(=O)OCC1O,Terpenoids,Diterpenoids,Labdane diterpenoids
COC1(NC(=O)CCCC(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,Amino acids and Peptides,棺-lactams,Cephalosporins
CC1(C)C2CC=C(C(=O)O)CC21,Terpenoids,Monoterpenoids,Carane monoterpenoids
C=C1CCCC2C1(C)CCC1CC(C)(C(O)CO)CC(OC(C)=O)C12C,Terpenoids,Diterpenoids,Erythroxylane diterpenoids
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC=CCC(=O)O,Fatty acids,Fatty esters,Fatty acyl CoAs
CCCC/C=C\CCCCOC(=O)CC(C)C,Fatty acids,Fatty esters,Wax monoesters
CC1CCC2C(C2(C)C)C2(O)C(C)CCC12,Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
CC1OC=C2C(=O)OCCC2=C1C=O,Terpenoids,Monoterpenoids,Secoiridoid monoterpenoids
